순위,제목,저자,출판사,요약
23,R을 이용한 텍스트 마이닝,백영민,한울아카데미,이 책은 최근 가장 각광받는 프로그래밍 언어이자 오픈소스 프로그램인 R을 이용해 텍스트 분석을 실행하는 실제적인 방법을 안내한다. 다양한 데이터 마이닝 기법과 데이터 처리 방법을 소개하고 이를 구현하는 R
24,그림으로 배우는 데이터 과학,히사노 료헤이,영진닷컴,"한 눈에 살펴보는 데이터 과학의 세계
데이터 과학과 관련된 영역은 매우 광범위하고, 여기에 사용되는 기술과 능력 또한 단순하지 않습니다. 이 책은 데이터 과학을 이해하는 데 필요한 IT 기술과 지식을 그림과"
25,매개분석 조절분석 및 조절된 매개분석 Process macro를 이용한  CD1장포함  양장본 HardCover ,Andrew F. Hayes,신영사,▶ 이 책은 매개분석 조절분석 및 조절된 매개분석에 대해 다룬 교재입니다. 매개분석의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
26,R을 이용한 누구나 하는 통계분석,안재형,한나래,"『R을 이용한 누구나가 하는 통계분석』은 통계분석을 수학적 이론보다는 직관적인 설명으로 쉽게 이해할 수 있도록 구성한 책이다. 통계분석을 해야 할 상황이 닥쳤을 때, 가능한 빨리 데이터를 입력, 분석하고"
27,R활용 빅데이터분석,노규성,와우패스,"데이터의 활용은 데이터추출, 데이터저장, 데이터분석, 분석결과의 시각화, 미래행동의 예측, 결과의 적용으로 이루어진다. 그리고 활용의 결과는 의사결정의 질적 제고를 넘어 경쟁력 우위를 가져다 주게 된다."
28,진실을 드러내는 데이터 시각화의 과학과 예술,알베르토 카이로,인사이트,"《진실을 드러내는 데이터 시각화의 과학과 예술》은 데이터를 다루고, 그 안에 숨겨진 스토리를 발견하고, 그 스토리를 차트, 지도 그리고 인포그래픽 등의 형태로 세상과 공유하는 방법에 관해 다양한 사례를"
29,빅데이터 개론,한국소프트웨어기술인협회 빅데이터전략연구소,광문각,"빅데이터 전문 인력 양성을 위한 시대적 소명을 인식하고 
반드시 갖추어야 할 전문지식을 담은 학습서

본 교재는 총 3편 13장으로 구성되어 있다. 제1편, 빅데이터의 이해에서는 빅데이터의 개요, 빅데이터"
30,SAS 프로그래밍 입문 예제로 배우는 ,김기영,자유아카데미,예제로 배우는『SAS 프로그래밍 입문』. SAS 소프트웨어를 이용하여 데이터 분석을 수행하고자 하는 다양한 분야의 독자들을 위한 프로그래밍 입문서이다. 실제적이고 간단한 예제를 이용하여 SAS 언어의 기본적인
31,MS Power BI를 활용한 빅데이터 시각화 분석,변정한,컴원미디어,이 책은 빅데이터 시각화에 대한 관심이 급증함에 따라 MS Power BI 활용을 위해 기획한 책이다. 이 책을 통해 앞으로의 제4차산업 빅데이터 시대에 맞추어서 개발된 클라우드 MS Power BI 서비스를 보다 깊이
32,시계열 데이터 분석 STATA,민인식,지필미디어,▶ 이 책은 시계열 데이터 분석을 다룬 이론서입니다. STATA의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
33,데이터 분석 Mplus를 이용한 ,Christian Geiser,학지사,▶ 이 책은 데이터 분석을 다룬 이론서입니다.
34,R데이터 시각화 응용 심화편 ,김지형,북앤에듀,▶ 이 책은 R데이터 시각화를 다룬 이론서입니다.
35,제대로 배우는 MATLAB,방성완,한빛아카데미,"이 책은 MATLAB의 기본 기능부터 핵심 기능까지 꼭 필요한 내용만을 간략히 설명하고, 이를 전공 예제에 적용해 봄으로써 MATLAB과 전공 모두를 제대로 배울 수 있도록 한다. 이 책을 통해 필요한 기능만을 바로"
36,칼만 필터는 어렵지 않아,김성필,한빛아카데미,이 책은 칼만 필터 자체가 어려운 것이 아니라 설명하는 방식이 불친절해 배우기 어려웠다는 문제의식에서 출발합니다. 그래서 수학적인 유도와 증명을 앞세우는 대신 칼만 필터의 핵심 알고리즘을 바로 제시하고
37,빅데이터 시각화 데이터 과학 ,제임스 밀러,에이콘출판,"빅데이터 시각화를 배우고 이를 익히기 위한 도전 과제 접근 속도, 문맥 이해/추가, 데이터 품질 향상, 결과 표시, 이상점 등 를 다룬다. 가장 대중적인 라이브러리에 초점을 두고, 하둡 Hadoop , R, D3.js,"
38,STATA 기초적 이해와 활용 15 Version  2판  양장본 HardCover ,민인식,지필미디어,▶ 이 책은 STATA 기초적 이해와 활용에 대해 다룬 도서입니다. STATA의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.
39,R 데이터 분석 데이터 분석 전문가를 위한 ,조민호,정보문화사,"이 책은 독자들이 간단명료하게 데이터 분석 이론을 습득하고, 오픈 소스 기반이면서 강력한 그래픽 기능을 지원하는 R을 이용하여 실무에서 접할 수 있는 데이터 분석 실습을 할 수 있도록 구성하였습니다. 이"
40,통계학 제3판  이훈영교수의  3판  양장본 HardCover ,이훈영,청람,"『통계학』은 많은 사람들이 통계학을 쉽게 이해할 수 있도록 다양한 이론과 개념들이 어떻게 연관되어 있는가를 살펴보고, 그림과 요약을 통해 혼자서도 학습이 가능하도록 도왔다. 또한 가능한 명확하게"
41,데이터 처리&분석 실무 R을 이용한 ,서민구,길벗,"[R을 이용한 데이터 처리&분석 실무]는 통계, 기계 학습, 프로그래밍의 세 가지 키워드 중 프로그래밍 언어에 중점을 두고 R을 능숙하게 사용하는 방법을 설명한 책이다. 데이터 시각화, 통계 및 기계 학습에 대한"
