순위,제목,저자,출판사,요약
100,엑셀을 활용한 데이터 과학 실무 입문 위키북스 데이터 사이언스 시리즈 9 ,김보겸,위키북스,흩어져 있는 데이터를 필요에 맞게 수집하고 분석할 수 있는 형태로 만들어 이를 상황에 맞게 해석하지 못한다면 아무리 많은 데이터가 있어도 소용없는 쓰레기 더미에 지나지 않는다. 이 책에서는 데이터 분석을
101,엔지니어를 위한 선형대수 위키북스 데이터 사이언스 시리즈 41 ,나카이 에츠지,위키북스,"선형대수학을 주제로 실수벡터에 한정해서 일차변환, 행렬식, 고윳값 문제 행렬의 대각화 와 같은 유명한 내용과 벡터공간의 공리에 기반한 더욱 일반적인 벡터공간의 성질을 다룹니다. 선형대수학에서는 행렬식의"
102,데이터 분석을 위한 베이지안 통계 모델링 with Stan & R,마쓰우라 겐타로,길벗,사람들은 통계 모델링을 통해 데이터가 보여주는 현상을 해석하고 그 원인을 분석해 정보를 얻는다. 이 책은 가장 많이 사용하는 통계 소프트웨어 Stan과 R로 베이지안 통계 모델링을 설명한다. 1부는 통계
103,엔터프라이즈 데이터 레이크 구축 데이터 과학 ,톰시 존,에이콘출판,"2019년 대한민국학술원 우수학술도서 선정도서

디지털 트랜스포메이션을 추구하는 기업이 빅데이터 가치 실현에 필요한 기업 내 단일 저장소인 '데이터 레이크'를 구축할 수 있도록 안내하는 실전서이다."
104,파이썬을 활용한 스파크 프로그래밍 데이터 과학 ,제프리 에이븐,에이콘출판,"스파크는 빅데이터 분석을 위한 가장 핵심적인 기술 중 하나다. 이 책에서는 스파크의 개념 및 설치, 활용법의 상세한 설명으로 독자들의 이해를 돕는다. 또한 스파크와 통합되는 타 기술들과 빅데이터 분석에"
105,R 시뮬레이션,마티아스 템플,에이콘출판,석사 또는 박사 과정에서 공부한 경험이 있다면 대게 샘플 데이터를 이용해서 모집단을 추정하고 예측하는 전통적 연구 방법에 익숙할 것이다. 샘플 데이터로 분석한다는 것은 많은 가정이 요구되는 작업이기도
106,처음 시작하는 R 데이터 분석,강전희,한빛미디어,"누구나 쉽게 배우고 할 수 있어야 진짜 입문서다! 통계를 몰라도, 프로그래밍을 몰라도, 데이터로부터 필요한 정보를 구하는 방법이 여기 있다. R 스튜디오 설치부터 프로젝트에 기반한 데이터 추출, 요약, 데이터"
107,데이터 과학 무엇을 하는가?,김옥기,이지스퍼블리싱,"직접 겪어보지 않으면 모른다. 데이터 과학이란 무엇이며 데이터 과학자가 무슨 일을 하는지. 미국 최대 데이터 회사를 거쳐, 국내 최대 데이터 회사의 센터장을 맡고 있는 저자는 미국 기업과 한국 기업에서"
108,첫 눈에 반한 STATA 2판 ,양오석,지필미디어,▶ STATA에 관한 내용을 담은 전문서적입니다.
109,수치분석과 시뮬레이션 R프로그래밍,장상수,느린생각,"이 책은 네 개의 큰 덩어리로 이루어졌다. 첫 부분에서는 R 언어를 쉽게 풀어서 해설하였고, R 프로그래밍을 할 때 알아야 하는 기초 지식을 살폈다. 둘째 덩어리에서는 확률과 확률분포, 표집분포와 신뢰구간"
110,R로 배우는 실무 데이터 과학,니나 줌멜,제이펍,"이 책은 실무 비즈니스에 사용할 수 있는 R 프로그래밍 언어와 유용한 통계 기술 적용 방법을 보여준다. 마케팅, 비즈니스 인텔리전스 및 의사 결정 예를 사용하여 A/B 테스트 같은 설계 방법, 예측 모델 작성"
111,몽고디비 인 액션 전면개정판 2판  제이펍의 클라우드 시리즈 15 ,카일 뱅커,제이펍,《몽고디비 인 액션 제2판 》은 1판에 비해 완전히 개정되고 업데이트되었다. MongoDB 3.x와 도큐먼트 지향 데이터베이스 모델을 소개하는 이 책은 개발자에게 필요한 큰 그림과 시스템 엔지니어를 만족시키기에
112,빅데이터 분석과 활용 4차 산업혁명 현장 전문가가 알려주는 ,박인근,제이펍,"현장 전문가가 직접 전하는
4차 산업혁명 시대에 어울리는 빅데이터 구축 노하우!

이 책은 4차 산업혁명 시대에 왜 빅데이터가 중요한가에 대해 말하고, 실제로 빅데이터를 구축하려면 어떠한 기술이 필요한지"
113,전기수학 알기쉬운 ,하영원,기전연구사,▶ 이 책은 전기수학을 다룬 이론서입니다.
114,Big Data 빅 데이터 ,버나드 마,교학사,"[Big Data 빅 데이터 ]는 스마트한 세상을 살아가고 있는 우리에게 더 나은 의사결정과 실적향상을 위해 사용하는 스마트 빅 데이터의 분석하고, 빅 데이터의 가능성을 현실 세계에서 결과물로 변환하는 방법을"
115,R 프로그래밍 레퍼런스 북 빅데이터 통계 분석을 위한 ,이시다 모토히로,교학사,『빅데이터 통계 분석을 위한 R 프로그래밍 레퍼런스 북』은 ‘R에서 독자가 원하는 처리를 실행하기 위해서 어떻게 하면 좋을까?’에 대한 답을 섹션 제목과 함께 이에 대한 해설과 사례를 게재하였다. 특히
116,STATA 친해지기 New  양장본 HardCover ,정성호,법문사,이번 개정판 이러저러한 이유로 법문사에 옮겨 출판하게 됨 은 2017년 출시된 Stata 15의 변화를 반영하여 새로 썼다. 또한 초판에서 다루지 못한 데이터 관리 등을 추가하여 독자가 더욱 친숙하게 프로그램을
117,실험설계와 분산분석 사회과학 연구를 위한  양장본 HardCover ,강상진,교육과학사,"이 책은 전체 10개장으로 구성되어 있으며, 1장과 2장은 실험설계와 분산분석에 대한 기초 개념을 서술한 것이다. 3장부터 10장까지는 각 실험설계 맥락에 따른 통계모형으로서 분산분석모형을 소개한 것이다. 각"
118,이산수학,황석근,성안당,이산수학 입문서. 이 책은 경북대학교 사범대학 수학교육과에 개설된 이산수학 강의 노트를 토대로 엮은 것으로 다양한 이산적 구조와 알고리즘에 관한 내용으로 구성되었다.
119,빅데이터 기획 및 분석,주해종,크라운출판사,"『빅데이터 기획 및 분석』은 빅데이터의 개념과 함께 다양한 종류의 데이터 활용법을 수록한 책으로서 기존의 데이터베이스 관리도구로 데이터를 수집, 저장, 관리, 분석할 수 있는 역량을 뛰어넘어 대량의 정형"
120,통계적 기계 학습,스기야마 마사시,서울대학교출판문화원,『통계적 기계 학습』은 기계 학습 알고리즘의 기본 원리를 이해하고자 하는 학계 및 산업체의 연구자들이 사용할 수 있는 입문서이다. 입문자들이 알고리즘의 기본 원리를 상당히 깊이까지 이해할 수 있도록
121,시계열 분석과 예측 2판  양장본 HardCover ,이우리,탐진,▶ 이 책은 시계열 분석과 예측 이해와 응용에 대해 다룬 이론서입니다. 시계열 분석의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
122,잠재성장모델링과 구조방정식모형 분석 AMOS LISREL ,김계수,한나래아카데미,『잠재성장모델링과 구조방정식모형 분석 - AMOS/LISREL』은 김계수의 저술한 것이다. 자신의 상황에 맞도록 잠재성장모델을 분석할 수는 구조방정식모델 분석 프로그램인 AMOS와 LISREL을 쉽게 다룰 수 있는
123,데이터마이닝 기법과 응용,전치혁,한나래아카데미,데이터마이닝이란 주제는 최근에 매우 보편화되어 많은 입문서가 출판되고 다양한 기법들이 논문을 통해 발표되고 있다. 하지만 이공계 대학생이나 대학원생을 위한 입문서는 찾아보기 어렵다. 이 책은
124,R을 활용한 소셜 빅데이터 연구방법론,송태민,한나래,『R을 활용한 소셜 빅데이터 연구방법론』은 실제로 소셜 빅데이터를 분석하여 미래를 예측하고 정책을 개발하기 위해 필요한 전체 연구과정을 자세히 담은 책이다. 또한 소셜 미디어에서 정보를 뽑아내고 분석할
125,환경통계 및 데이터 분석 SPSS와 MATLAB을 활용한 ,김준하,한나래아카데미,"『환경통계 및 데이터 분석』은 환경공학, 지구과학, 환경학, 대기학, 해양학 등 지구 환경의 현장에서 모니터링 데이터를 수집ㆍ분석ㆍ해석하는 학생과 연구원들이 통계의 기초적인 배경지식과 함께 SPSS와"
126,Stata로 배우는 구조방정식모형,정성호,한나래아카데미,『Stata로 배우는 구조방정식모형』은 구조방정식모형 분석을 처음 접하는 연구자들이 Stata 통계프로그램에 대한 기본 구조와 함께 구조방정식모형을 쉽고 명확하게 이해할 수 있도록 체계적으로 구성하였다.
127,R & Excel 사례와 예제로 보는 통계분석,박천건,한나래아카데미,"여러 학문 분야와 다양한 산업의 업무 분야에서 자료 데이터 의 중요성과 함께 통계를 이해하고 활용하는 능력이 강조되고 있다. 통계는 전문가들만이 다룰 수 있는 전유물이 아닌, 비전문가들도 필히 알아야 하는"
128,SPSS AMOS 논문 통계분석 내비게이션,이현실,한나래아카데미,"논문 통계분석의 지름길을 안내하는 책 『SPSS/AMOS논문 통계분석 내비게이션』. 논문을 써야 하는 연구자들에게 통계분석은 넘어야 할 산이다. 논문 작성은 크게 연구 주제와 목적 설정, 그에 따른 연구문제와"
129,R 기반 데이터 과학 타이디버스 접근,백영민,한나래아카데미,"오늘날 R 이용환경은 급속하게 변화하고 있다. 그러나 환경이 변했다고 해서 R을 이용하는 것이 더 어려워진 것은 아니다. R 환경은 더 많은 양의 데이터, 더 다양한 형태의 데이터를 보다 쉽게 다루고 분석할 수"
130,환경통계 및 데이터 분석,김준하,한나래아카데미,수많은 데이터가 존재하는 빅데이터 시대에 ‘체계적·효율적인 데이터 분석’의 중요성은 날로 커가고 있다. 환경 데이터 분석 분야에서도 그러한 흐름은 마찬가지다. 이 책은 2016년 출간되어 국내 최초의 환경
131,R 기반 제한적 종속변수 대상 회귀모형,백영민,한나래아카데미,"회귀모형에서 종속변수는 연구자가 설명하고자 하는 현상이다. 그러나 가장 널리 사용되는 일반최소자승 OLS, ordinary least squares  회귀모형에서 가정하는 형태의 종속변수, 즉 정규분포를 따른다고 가정할 수"
132,알찬 R프로그래밍 초보 데이터과학자 Data Scientist 를 위한 ,홍성용,내하출판사,초보 데이터과학자 Data Scientist 를 위한『알찬 R프로그래밍』. 비전공자가 데이터 분석을 시작하는 초심에서부터 원리를 하나하나 깨우치며 단계별 실무 학습단계까지 진행할 수 있도록 기획하고 저술하였다.
133,언어병리학에서 SPSS를 활용한 통계분석 CD-ROM1장포함 ,남정모,시그마프레스,"[머리말]

언어병리학 분야에서 많이 쓰이는 통계분석방법을 위주로 꼭 이해해야 할 내용을 중심으로 한 학기 동안 소화할 수 있는 범위로 구성하였고, 언어병리학 분야의 실제 데이터를 SPSS를 이용하여"
134,SmartPLS 3.0 구조방정식모델링 석박사학위 및 학술논문 작성 중심의  CD1장포함  양장본 HardCover ,신건권,청람,▶ 구조방정식모델링 PLS-SEM 에 관한 내용을 담은 전문서적입니다.
135,통계데이터분석 SPSS를 이용한  CD1장포함  양장본 HardCover ,곽기영,청람,▶ 이 책은 통계데이터분석을 다룬 이론서입니다.
136,웹 데이터 분석학 에이콘 검색 마케팅 웹 분석 시리즈 7 ,아비나쉬 카우쉭,에이콘출판,인사이트 기반의 온라인 마케팅과 운영을 위한 『웹 데이터 분석학』. 세계적인 웹 데이터 분석 ‘구루’인 아비나쉬 카우쉭이 쓴 인사이트 기반의 웹 데이터 분석에 관한 책이다. 전통적인 클릭스트림 분석을
137,수치해석학 Matlab으로 실습하는  개정판 ,이규봉,경문사,『수치해석학』은 Matlab으로 실습하면서 배울 수 있는 교재이다. 3시간 15주 강의를 기본으로 수치해석학의 전반적인 내용을 편집했다. 이론과 실습을 적절하게 배분했으며 알기 쉬운 설명으로 학습할 수 있다.
138,R을 이용한 베이즈 통계 기초,도진환,한티미디어,▶R을 이용한 베이즈 통계 기초에 관한 내용을 담은 전문서적입니다.
139,R을 이용한 구조방정식모델 분석의 기초,도진환,한티미디어,"구조방정식모델은 복잡한 사회현상을 과학적인 방법으로 이해하고자 하는 사회과학분야뿐만 아니라 간호학, 심리학, 교육공학 등의 다양한 분야에서도 활발히 응용되고 있다. 구조방정식모델을 한마디로"
140,고급 데이터 분석: R과 SPSS 23의 활용 개정판 ,허명회,데이타솔루션,SPSS 버전 23에 새로 추가된 14종의 통계적 기법에 대한 방법론과 R과 SPSS를 활용하는 매뉴얼을 제공한다.
141,빅데이터 시스템 구축 가이드,이상한,프리렉,"이 책은 빅데이터 시스템을 실질적으로 구축하는 데 필요한 세부적인 기본 지식과 기술 체계, 아키텍처, 프레임워크, 방법론을 제시합니다. 이를 통해 빅데이터 전체를 살필 수 있도록 실무에 초점을 맞춰"
142,빅데이터 분석 기획,노규성,와우패스,▶ 이 책은 자료분석을 다룬 이론서입니다. 자료분석의 기초적이고 전반적인 내용을 학습할 수 있습니다.
143,게임 수학 물리 입문 24가지 예제로 배우는 ,가토 키요시,길벗,"『게임 수학 물리 입문』은 저자의 오랜 강의 노하우를 통해 선정한 다섯 가지 주제 물체의 운동, 스크롤, 출돌 판정, 광선 표현, 화면 전환 효과 에서 다루는 다양한 공식과 핵심 코드로 2D 게임에 필요한 수학과"
144,헤드 퍼스트 데이터 분석 Head First Data Analysis ,마이클 밀튼,한빛미디어,"하둡을 이용한 SQL 기반 빅데이터 분석 도구 『헤드 퍼스트 데이터 분석』. 데이터 분석을 위한 기본적인 통계 이론과 엑셀의 데이터 분석 기능 사용법, R을 이용한 데이터 분석법에 대한 입문 수준의 내용을"
145,R로 배우는 데이터 분석 기본기 데이터 시각화,후나오 노부오,한빛미디어,빅데이터 분석 도구로 주목 받는 프로그래밍 환경이자 소프트웨어인 R을 입문편과 팁편으로 나눠 초보자와 중급자 모두가 R 프로그래밍을 이해할 수 있게 만든 초중급 입문서.
146,비즈니스를 위한 데이터 과학,포스터 프로보스트,한빛미디어,『비즈니스를 위한 데이터 과학』는 데이터 과학에서 가장 중요한 기본 개념을 설명한다. 이 개념들은 문제에 대한 계획을 세우는 일부터 데이터 과학 기법을 적용하고 더 나은 의사 결정을 하기 위해 결과를
147,파이썬을 활용한 금융 분석,이브 힐피시,한빛미디어,초대형 투자은행과 헤지 펀드를 비롯한 금융업계는 빠른 속도로 트레이딩 시스템과 위험 관리 시스템 개발 언어로 파이썬을 채택하고 있다. 이 책은 개발자들과 퀀트 애널리스트들이 파이썬을 시작하고 파이썬을
148,MATLAB을 이용한 알기 쉬운 수치해석 양장본 HardCover ,박태희,생능출판사,수치해석은 컴퓨터의 급속한 발전과 함께 빠르고 강력한 기능을 갖춘 프로그래밍 언어들의 등장으로 인해 공학과 과학의 전 분야에서 필수적인 과목으로 자리 잡고 있다. 그러나 다양한 수치해석 이론을 이해하고
149,이산수학 4차 산업혁명 시대의  개정판 ,김대수,생능출판,"4차 산업혁명 시대의 이산수학

날로 발전하는 과학기술과 공학적 응용의 핵심은 수학일 것이다. 우리는 수학을 통하여 해결하고자 하는 복잡한 문제들을 추상화 abstraction 하며, 논리적으로 엄밀하게"
150,통계학 입문 Excel에 기초한  4판 ,송문섭,자유아카데미,"『Excel에 기초한 통계학 입문』은 엑셀 Excel 과 KESS를 이용한 기초통계학 교재이다. 이 책은 통계학의 원리를 쉽게 설명하는 것을 제1의 목표로 하였다. 즉, 통계적 방법뿐만 아니라 그 원리를 쉽게"
151,실험계획법: DESIGN EXPERT 7 MINITAB활용 실용적인 ,임용빈,자유아카데미,이 책은 해당 분야 전공자들을 위한 교재 겸 전문서이다.
152,SAS 데이터 분석 입문 예제로 배우는  개정판 ,김기영,자유아카데미,"예제로 배우는 『SAS 데이터 분석 입문』은 김기영 외 3명의 전문인들이 집필한 컴퓨터 분야의 전문서적이다. 이 책은 총 10장으로 구성되어 있으며, SAS를 이용하여 데이터 분석을 수행하고자 하는 다양한 분야의"
153,응용데이터분석,허명회,자유아카데미,이 책에서 다루는 토픽은 총 20개로 메타 분석에서 R 컬러 체계까지 다양하다. R에서 데이터세트를 다루는 데 있어 효과적인 몇 개의 팩키지를 부록에 소개하였다. 이들에는 어떤 순서도 없으므로 시간 있을 때
154,데이터마이닝 R SAS MS-SQL을 활용한 ,이정진,자유아카데미,데이터마이닝 이론과 응용을 다룬 책. R 및 SAS를 활용하여 적절히 실습할 수 있도록 설계했다. 학부에서 미적분학이나 통계학을 수강한 사람이면 전반적인 흐름을 이해할 수 있도록 구성했다.
155,데이터마이닝 R을 이용한 ,박창이,교우사,학부 또는 석사수준에서 데이터마이닝 기법들을 체계적으로 학습할 수 있도록 도와주는 입문서『데이터마이닝』. 이 책은 데이터마이닝의 주요 기법들 간의 연관성과 아이디어를 중심으로 되도록 간략하게
156,공학확률통계 제2판  양장본 HardCover ,ALFREDO H-S. ANG,구미서관,『건설ㆍ환경ㆍ교통ㆍ도시 분야의 응용을 위한 공학확률통계』는 공학실무자들과 공학도들이 확률과 통계의 개념을 보다 쉽게 익힐 수 있는 기초를 제공한 교재이다. 관련기초 개념을 제공함에 있어서 공학이나
157,Minitab 신뢰성분석,서순근,이레테크,신뢰성 분야의 전문가들은 미 국방성의 주도로 전자장비의 신뢰도에 관한 자문그룹 AGREE 에서 1957년 발행된 보고서를 신뢰성공학이 하나의 학문분야로 탄생한 시점으로 보고 있다. 국내외 산업계에서 전공
158,Minitab 예제 중심의 실험계획법,이상복,이레테크,이 책의 목표는 현장에서 많이 사용되는 실험계획법 사용 방법을 쉽게 이해하고 Minitab을 이용하여 현실에 적용할 수 있게 하는 것입니다. 품질개선활동을 하는데 직접 도움이 되도록 실례를 들어 자세하게
159,Minitab을 이용한 기초통계,김수택,이레테크, 
160,Minitab 품질관리,이승훈,이레테크,▶ 이 책은 품질관리를 다룬 이론서입니다. 품질관리의 기초적이고 전반적인 내용을 학습할 수 있습니다.
161,Minitab을 이용한 빅데이터 분석,김종욱,이레테크,▶ 이 책은 Minitab을 이용한 빅데이터 분석을 다룬 이론서입니다.
162,Minitab을 이용한 선형 회귀분석 개정판 3판 ,김종덕,이레테크,사회가 선진화됨에 따라 학문이나 기업에서 통계적 자료분석은 그 중요도가 점점 커져가고 있습니다. 그 중 특히 회귀분석은 가장 많이 사용되는 통계적 방법 중의 하나입니다. 회귀분석은 개념적으로 비교적
163,통계분석  SPSS 활용  알기쉬운 ,안동규,대진,"통계학 전공서. 이 책은 통계학의 개요에서부터 자료 수집과 정리, 확률분포와 회귀분석, 데이테베이스 기반의 데이터 분석 방법 등의 내용을 담아 정리했다. 또한 SPSS를 활용한 표본 추출 방법과 설문분석에"
164,노드엑셀을 이용한 소셜 미디어 네트워크 분석,Derek L. Hansen,컴원미디어,"빅데이터와 소셜 네트워크 분석에 관심이 있는 사용자에게
노드엑셀 NodeXL 을 소개하는 최고의 입문서!

이 책을 통해 소셜 미디어와 빅데이터 시대 정형?비정형 데이터의 다양한 종류의 네트워크 데이터를"
165,"파이썬을 이용한 빅데이터 수집, 분석과 시각화",이원하,비팬북스,"『파이썬을 이용한 빅데이터 수집, 분석과 시각화』는 빅데이터 수집, 분석, 시각화를 실습할 수 있는 기본서입니다. 파트 1과 파트 2에서는 소셜 미디어, 공공 데이터, 일반 웹 데이터를 수집하는 방법을"
166,SPSS 20.0 매뉴얼 CD1장포함  양장본 HardCover ,이학식,집현재,"본서는 모두 18개 장으로 구성되어 있다. 첫 3개 장은 SPSS를 활용하기 위한 기초적 내용으로 데이터 파일, 기술통계량, 그리고 결과물 다루기 등을 그 내용으로 한다. 제 4 장은 통계학의 기초가 부족한 독자들을"
167,구조방정식 모형분석과 AMOS 20.0 CD1장포함  양장본 HardCover ,이학식,집현재,"『구조방정식 모형분석과 AMOS 20.0』은 구조방정식 모형분석과 AMOS의 핵심을 정리한 책이다. 구조방정식 모형분석을 개념적으로 설명하고, 개괄적 절차 등을 소개한다. AMOS 프로그램의 기본적 이해 및 이를"
168,데이터 관리를 위한 STATA,이근철,지필미디어,▶ 이 책은 데이터 관리를 위한 STATA에 대해 다룬 이론서입니다. STATA의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
169,래피드마이너 기초편 토닥토닥 ,김양석,카오스북,"『토닥토닥 래피드마이너 기초편』은 일반인도 쉽게 이해하고 활용할 수 있는 데이터 분석 방법과 도구를 제시하는 것을 목표로 한다. 이 목표를 달성하기 위해 다음의 세 가지에 중점을 두었다. 첫째, 데이터"
170,실험설계분석 양장본 HardCover ,성태제,학지사,▶ 이 책은 실험설계분석에 대해 다룬 도서입니다. 실험설계분석의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.
171,R을 이용한 조건부과정분석,문건웅,학지사,▶ 이 책은 전산통계/수치해석을 다룬 이론서입니다. 전산통계/수치해석의 기초적이고 전반적인 내용을 학습할 수 있습니다.
172,STATA 친해지기,정성호,박영사,▶ 이 책은 STATA에 대해 다룬 이론서입니다. STATA의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
173,데이터 분석과 해석: R 통계학,권혁제,박영사,"[데이터 분석과 해석: R 통계학]은 통계학 이론에 바탕한 다양한 데이터의 분석과 해석에 대해 다룬 책이다. R을 활용한 데이터 사이언스, 계량경제 기초를 확립하는데 도움을 준다."
174,STATA 더 친해지기 STATA 15  양장본 HardCover ,정성호,박영사,"『STATA 더 친해지기』는 기존 교재들이 다루는 패널분석기법을 포함하여 사회과학 전반의 독자들이 자주 활용하지만 기존 교재에서 잘 다루지 않는 DID, RD, HLM 등 다양한 분석기법을 새롭게 추가하여 집필한"
175,공학도를 위한 수치해석 7판 ,Steven C. Chapra,McGraw Hill,이 책은 해당 분야 전공자들을 위한 교재 겸 전문서이다.
176,알기쉬운 수치해석 전정판 2판  양장본 HardCover ,백태현,홍릉과학출판사,▶ 이 책은 수치해석을 다룬 이론서입니다.
177,이산수학 Rosen의  수정판 8판 ,Kenneth H. Rosen,McGraw-Hill Education,▶ 이 책은 이산수학을 다룬 이론서입니다.
178,복잡계와 데이터 과학,Allen B. Downey,홍릉과학출판사,▶ 이 책은 복잡계와 데이터 과학에 대해 다룬 이론서입니다. 복잡계와 데이터 과학의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
179,빅데이터 분석도구 R인 액션,Robert I. Kabacoff,홍릉과학출판사,▶ 이 책은 빅데이터 분석도구 R인 액션에 대해 다룬 도서입니다. 빅데이터 분석도구 R인 액션의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
180,빅 데이터 AI 관점에서 바라본 ,Anand Deshpande,홍릉과학출판사,▶ 빅 데이터에 관한 내용을 담은 전문서적입니다.
181,R 통계분석 제대로 알고 쓰는 ,이윤환,한빛아카데미,"『R 통계분석』은 R로 쉽게 이해하는 데이터 분석의 핵심 기법을 배울 수 있는 책이다. 다양한 자료 수집방법, 자료 정제과정, 분석 방법을 자세히 설명한다. ‘통계’를 쉽게 배우고 싶은 사람들과 ‘R’을 쉽게"
182,수치해석학 바이블 7판 ,Ward Cheney,한빛아카데미,"-. 입문자가 보아도 이해하기 쉽도록 수치해석의 기초와 전반을 자세히 설명한다.
-. 다양한 유사코드 pseudocode 와 응용 예제로 수치해석을 직관적으로 이해할 수 있다.
-. 각종 수치 알고리즘을 다양한"
183,이산수학 MSE ,박두순,한빛아카데미,"이 책은 컴퓨터를 공부하는 학생에게 꼭 필요한 이산수학의 내용을 선별하여 구성했으며, 이산수학의 기본 개념부터 자세히 다루므로 수학적 기초가 부족한 학생도 쉽게 이해할 수 있다. 이산수학의 전형적인"
184,R로 배우는 데이터 과학 IT CookBook 251 ,양윤석,한빛아카데미,"다양한 생활 데이터로 쉽게 배우는 데이터 과학

데이터에서 가치를 발견하고 이를 문제 해결에 활용하는 데 관심이 많은 사람들을 위한 데이터 과학 입문서입니다. 프로그래밍 경험이 전혀 없어도 시작할 수"
185,통계 프로그래밍 입문 R을 활용한 ,W. John Braun,자유아카데미,『R을 활용한 통계 프로그래밍 입문』은 R 프로그래밍에 대한 매뉴얼이 아니라 R을 이용한 통계 프로그래밍 강좌이다. 사전에 프로그래밍에 대한 경험이나 통계학 전공자 수준의 통계적 지식이 없어도 이해할 수
186,R 시각화와 통계자료분석. 1 데이터 과학을 위한 R 시리즈 1 ,나종화,자유아카데미,『R 시각화와 통계자료분석』 제 1권은 빅데이터를 계기로 다양한 응용분야에서 통계학 비전공자를 가르치면서 체득한 저자의 경험을 바탕으로 통계학에 대한 주요 개념 소개와 함께 데이터 분석을 원하는
187,R 시각화와 통계자료분석. 2 데이터 과학을 위한 R 시리즈 2 ,나종화,자유아카데미,『R 시각화와 통계자료분석』 제 2권은 빅데이터를 계기로 다양한 응용분야에서 통계학 비전공자를 가르치면서 체득한 저자의 경험을 바탕으로 통계학에 대한 주요 개념 소개와 함께 데이터 분석을 원하는
188,AMOS 24 구조방정식 모형,임동훈,자유아카데미,[AMOS 24 구조방정식 모형]은 기초 통계학에 대한 선행 학습 없이 바로 AMOS를 이용한 구조방정식 모형을 접할 수 있도록 초보자의 눈높이에 맞춰 집필한 입문서로서 구조방정식 모형의 개념을 체계적으로
189,다변량 자료분석,박흥선,자유아카데미,"『다변량 자료분석』은 다변량 이론의 수학적 증명 보다는 다변량 자료분석의 개념을 강조했고, 소프트웨어를 통한 실제 자료분석에 초점을 맞추었다. 기존의 책들이 R이나 SAS, 혹은 SPSS 중 하나만을 중심으로"
190,R 데이터마이닝 데이터 과학을 위한 R 시리즈 5 ,나종화,자유아카데미,"『R 데이터마이닝』은 각 분석법들의 목적과 아이디어를 간명하게 제시하고, 각 분석법들 간의 차이와 장단점을 이해함으로써 분석자 스스로가 보다 나은 분석법을 찾아갈 수 있도록 하는 데 주안점을 둔 점이다."
191,"실험계획법 SPSS, SAS를 활용한 ",박동권,자유아카데미,▶ SPSS에 관한 내용을 담은 전문서적입니다.
192,효과크기와 표본크기 계산 G Power를 활용한 ,강현철,자유아카데미,"이 책은 총 7개의 장으로 구성되어 있다. 1장에서는 통계적 가설검정, 유의수준, 검정력, 효과크기, 표본크기 등의 기본적인 개념에 대하여 간단히 설명하였다. 또한 G*Power의 주요 사용법을 소개하고 있다."
193,구조방정식모형 분석과 응용 SPSS/AMOS를 활용한 ,강현철,자유아카데미,▶ 이 책은 구조방정식모형을 다룬 이론서입니다.
194,베이지안 자료분석 JAGS를 활용한 ,오만숙,자유아카데미,▶ 이 책은 자료분석을 다룬 이론서입니다. 자료분석/빅데이터의 기초적이고 전반적인 내용을 학습할 수 있습니다.
195,실무로 배우는 빅데이터 기술 개정증보판  데이터베이스 & 빅데이터 시리즈 17 ,김강원,위키북스,"스마트카 빅데이터 파일럿 프로젝트를 단계별로 진행하면서 빅데이터의 수집/적재, 처리/탐색, 분석/응용 영역의 아키텍처와 활용 기술들을 다루고 있다. 전문 개발자가 아니어도 약간의 소프트웨어 지식만으로"
196,데이터 과학 입문과 실습 파이썬으로 배우는  위키북스 데이터 사이언스 시리즈 11 ,데이비 실린,위키북스,"《파이썬으로 배우는 데이터 과학 입문과 실습》은 데이터 과학의 주요 개념을 설명하고 데이터 과학자로서 기본적인 작업을 완수할 수 있는 법을 가르친다. 데이터 과학의 진행 과정과 데이터 시각화, 그래프"
197,시작하세요! 데이터 분석 with R 위키북스 데이터 사이언스 시리즈 18 ,박훈,위키북스,"최근 기술의 발전으로 데이터는 더 정교해지고 커지고 있으며, 이를 바탕으로 특정 분야가 아닌 업무 전반에 걸쳐 데이터를 분석해야 할 필요성과 기회가 늘어나고 있다. 이제 데이터 분석은 단지 전문가의 것이"
198,R 데이터분석 예제를 따라하며 배우는 ,이종형,현문사,▶ 이 책은 데이터분석을 다룬 이론서입니다.
199,이산수학 6판 ,박종안,경문사,▶ 이산수학에 관한 내용을 담은 전문서적입니다.
200,데이터 과학 입문자를 위한 R 데이터 과학 시리즈 ,재리드 랜더,에이콘출판,"R의 기초부터 프로그래밍까지 소개하고, 다양한 통계학적 방법과 일상에서 사용할 수 있는 도구들을 소개한다. 2판에서는 새로운 내용을 추가해 최신 R 커뮤니티에 소개된 내용들을 망라하고 있다."
201,엑셀로 하는 회귀분석,콘래드 칼버그,에이콘출판,"단순히 공식을 설명하는 것이 아니라 부동산 가격 예측, 웹 데이터 분석 등과 같은 실무에서 바로 사용될 만한 풍부한 예제를 통해 회귀분석의 원리를 친절하게 설명한다. 복잡한 계산은 엑셀에 맡기고 회귀분석에"
