순위,제목,저자,출판사,요약
20,꼼꼼한 재은 씨의 스위프트: 기본편 꼼꼼한 재은 씨의 스위프트 시리즈 2 ,이재은,루비페이퍼,"이 책은 꼼꼼한 재은 씨의 스위프트 시리즈 중 두 번째 순서로, 최근 발표된 스위프트 4.0을 기준으로 iOS 앱 제작 과정을 학습합니다. 코코아 터치 프레임워크를 다루는 방법을 익히고, 스토리보드를 이용하여"
21,코딩스쿨 앱인벤터 앱 프로그래밍 기초,렉스기획팀,렉스미디어,앱 인벤터란? 구글과 MIT 미디어 랩에서 복잡한 프로그래밍 언어 대신 퍼즐처럼 조립할 수 있는 블록을 이용해 초보자도 쉽게 안드로이드 앱을 만들 수 있게 도와주는 웹 기반의 앱 개발 도구이다. 일상생활에서
22,드론 나혼자 코딩,문근민,디지털북스,"코드론2 출시정보를 담았습니다! 저자가 얼리어답터로 드론을 접하면서 얻은 노하우를 통해 드론이나 코딩을 전혀 알지 못하는 초보자도 쉽게 따라할 수 있는 예제와 드론 조종법, 공역 정보 등 드론을 날릴 때"
23,안드로이드 임베디드 시스템 가이드북 비글보드로 배우는 ,박규호,영진닷컴,"카이스트 전기전지공학과 교수 박규호, 대전대학교 해킹보안학과 교수 박기웅의 『비글보드로 배우는 안드로이드 임베디드 시스템 가이드북』. 비글보드와 함께 안드로이드와 리눅스를 함께 다룬다. 실무에서 꼭"
24,Amazon Web Services로 시작하는 클라우드 입문,WINGS 프로젝트 아사 시호,영진닷컴,이 책은 Amazon Web Services AWS 를 처음으로 사용하는 사람을 위해 업무 시스템에서 널리 활용되는 Java 기반의 Web 시스템을 구축하는 절차를 GUI를 사용하여 설명한 입문서이다. 인프라 구축 경험이 적은 젊은
25,앱 인벤터로 도전! 안드로이드 앱 디벨로퍼,CODABLE 코더블 ,성안당,앱 인벤터는 스마트폰용 앱 프로그래밍 언어의 첫 단계로 최근 주목을 한 눈에 받고 있다. 코더블 Codable 이라는 IT교육 기업이 개발한 이 책은 앱 인벤터로 개발한 앱을 실제로 단계별로 따라 해 보면서 활용할
26,안드로이드 API 바이블 PROGRAMMERS MOBILE RECIPE 시리즈 3 ,유동근,정보문화사,모바일 전 분야의 실전 지식을 간결하고 이해하기 쉽게 전달하는 「안드로이드 API 바이블」시리즈 『안드로이드 API 바이블』. 이 책은 안드로이드가 제공하는 200여개의 핵심 예제를 통해 개발자들이 좀 더 쉽고
27,모바일 인터랙션 디자인,카메론 방가,정보문화사,『모바일 인터랙션 디자인』은 100개 이상의 모바일 앱을 개발해온 저자가 자신이 직접 얻은 원칙과 기술을 아낌없이 공유한다. 저자의 경험과 각종 예시를 통해 모바일 앱을 사용하는 누구든 모바일의 역사부터
28,SNS와 유튜브 1인 미디어를 위한 스마트폰 활용법,김경수,정보문화사,"스마트폰의 창의적인 활용법?

이 책은 두 가지 관점에서 스마트폰의 창의적인 활용법을 안내합니다.

첫째, SNS나 유튜브의 1인 미디어, 즉 SNS 초보 유저, 유튜버, 파워블로거 또는 디자이너, 홍보"
29,노드로 하는 웹 앱 테스트 자동화 헤드리스 브라우저와 모카를 활용한  acorn+PACKT ,페드로 테세이라,에이콘출판,『노드로 하는 웹 앱 테스트 자동화』는 노드 텃 비디오 튜토리얼 Node Tuts video tutorial 로 이미 잘 알려진 페드로 테세이라가 집필한 책이다. 범용 웹 테스트 프레임워크를 지원하는 헤드리스 브라우저인
30,모바일 포렌식 에이콘 모바일 프로그래밍 시리즈 ,사티시 봄미세티,에이콘출판,"이 책 [모바일 포렌식]은 iOS, 안드로이드, 윈도우, 블랙베리 플랫폼에서의 모바일 포렌식 기법에 대해 설명한다. 모바일 포렌식의 핵심적 요소와 기기에서 데이터를 추출하고 삭제된 데이터를 복구하고, 화면"
31,고품질 앱을 위한 모바일 테스팅 에이콘 소프트웨어 테스팅 시리즈 ,다니엘 노트,에이콘출판,[고품질 앱을 위한 모바일 테스팅]은 저자의 실제 경험을 바탕으로 모바일 테스트 계획부터 수행까지 전체 프로세스를 폭넓게 다룬다. 이 책의 핵심은 모바일에 특화된 테스트 방법과 자동화 도구의 설명 및 선택
32,OAuth 2.0 마스터 acorn+PACKT 시리즈 ,찰스 비히스,에이콘출판,"OAuth 2.0은 현재 가장 널리 사용되는 표준 인가 프로토콜로, 세계적으로 유명한 서비스 제공자와 상호작용해 세계적인 수준의 기술을 활용할 수 있게 해주는 강력한 인가 프레임워크다. OAuth 2.0이 무엇이고,"
33,안드로이드 애플리케이션 리버스 엔지니어링 에이콘 해킹 보안 시리즈 ,남대현,에이콘출판,"[안드로이드 애플리케이션 리버스 엔지니어링]은 안드로이드 애플리케이션 설치 방법부터 동적 디버깅에 이르는 다양한 분석 방법을 담은 책이며, 난독화 및 분석 방지 솔루션 등 분석이 막혔을 때, 돌파구를 찾을"
34,Cocos2d x 멀티 플랫폼 게임 프로그래밍 만들면서 배우는 ,노재현,한빛미디어,『Cocos2d x 멀티 플랫폼 게임 프로그래밍』은 C++와 Cocos2d-x를 이용해 퍼즐 게임과 슈팅 게임을 만들어보면서 모바일 멀티 플랫폼 게임 프로그래밍을 익힐 수 있는 교재이다. 애니팡과 같은 퍼즐 게임과 드래곤
35,그레이들 레시피,켄 커즌,한빛미디어,"『그레이들 레시피』는 그레이들로 안드로이드 애플리케이션 빌드 작업을 할 수 있도록 다양한 레시피 Recipe 를 소개하고, 안드로이드 프로젝트에서 흔히 발생하는 여러 빌드 문제를 해결할 수 있는 유용한 팁을"
36,앱 인벤터 코딩 & 플레이 2 ,코더블 CODABLE ,혜지원,앱인벤터로 간단한 게임부터 센서 프로그래밍까지 구현하는 『누구나 쉽게 만드는 스마트폰 앱 앱인벤터』. 이 책은 스마트폰 안의 센서를 이용하여 누구나 쉽게 앱을 만들고 활용할 수 있는 초간단 앱 만들기
37,안드로이드 레시피 위키북스 임베디드 모바일 시리즈 22 ,데이브 스미스,위키북스,빠르게 활용하는 안드로이드 문제 해법서『안드로이드 레시피』. 안드로이드 세계에서 발생할 수 있는 문제점들을 하나씩 살펴보고 다양한 해결책을 최소 API 레벨에서 제공한다. 이 책은 안드로이드 개발자가
38,안드로이드 프로그래밍 Android Studio를 활용한  개정판 3판  IT CookBook 230 ,우재남,한빛아카데미,"Android 8.0  오레오  버전으로 만나는 Android Studio를 활용한 안드로이드 프로그래밍
1.초보자도 쉽게 접근할 수 있도록 친절하게 설명한다.
2.프로그램을 단계별로 완성해가면서 코드에 대한 이해도를"
39,AWS 기반 서버리스 아키텍처 위키북스 오픈소스 & 웹 시리즈 88 ,피터 스바르스키,위키북스,AWS Lambda 예제로 살펴보는 AWS 기반 서비리스 아키텍처는 가장 까다로운 웹 및 모바일 애플리케이션을 구동할 수 있는 서버리스 아키텍처를 구축하고 보안성을 확보하며 관리하는 방법을 가르쳐 준다. 이
