순위,제목,저자,출판사,요약
21,오라클 실전 튜닝. 1 Perfect ,권순용,엑시엄,"이 책은 Ⅰ권에 데이터베이스 아키텍쳐 및 SQL 튜닝을 위한 기초적인 내용을 다루며, Ⅱ권에서 테이블들의 조인과 관련된 내용을 다룬다. Ⅰ권의 인덱스 아키텍쳐 및 파티션 아키텍쳐는 실제 운영에서 사용할 수"
22,Do it! 오라클로 배우는 데이터베이스 입문,이지훈,이지스퍼블리싱,데이터베이스는 탄탄한 기본기를 쌓아야만 실무에서 어려운 SQL문을 만나도 흔들리지 않는다. [Do it! 오라클로 배우는 데이터베이스 입문]은 현업 프로그래머이자 강사인 저자가 수많은 프로젝트 경험을 살려
23,데이타베이스론 개정판 ,이석호,정익사,『개정판 데이타베이스론』은 학부 상급 학년에서 데이타베이스를 공부할 수 있는 내용을 중심으로 구성한 책으로 데이타베이스 시스템을 기반으로 하고 있는 정보시스템과 데이타베이스 개념을 설명하고
24,SQL 레벨업,미크,한빛미디어,"『SQL 레벨업』은 《SQL 첫걸음》으로 성공적인 입문을 마치고, 다음 고지를 바라보는 이들을 위한 책이다. 고성능 SQL 작성 방법을 초보자 눈높이에 맞춰 다양한 예제를 통해 설명한다. 특히 오라클과 호환성을"
25,Real MySQL 개발자와 DBA를 위한  위키북스 오픈소스 웹 시리즈 38 ,이성욱,위키북스,"『Real MySQL』은 기본적인 SQL 문법 소개나 매뉴얼의 번역 수준에서 나아가, MySQL을 이용하는 애플리케이션 개발이나 운영을 통해 얻은 경험과 지식, 그리고 반드시 알고 있어야 할 주의사항을 중점적으로 다룬"
26,Real MariaDB MariaDB 10.0과 MySQL 5.6을 함께 배우는  위키북스 오픈소스 웹 시리즈 58 ,이성욱,위키북스,『Real MariaDB』는 MariaDB와 MySQL에 관심을 가지고 있는 독자들을 위한 책이다. MariaDB 10.0과 MySQL 5.6의 각 고유 기능과 공통 기능들을 비교 설명하는 방식으로 구성하여 MariaDB와 MySQL의 특성과 기능
27,Real MongoDB 대용량 데이터 처리를 위한  데이터베이스 & 빅데이터 시리즈 18 ,이성욱,위키북스,"MongoDB 메뉴얼은 아주 간결하고 기본적인 내용에 충실하게 작성되어 있다. 하지만 문법이나 명령만으로는 DBMS를 사용할 수 없다. 내부 작동 방식을 모르면 수많은 시행착오를 거치게 되며, 이런 시행착오는 결국"
28,SQL 코딩의 기술,존 비아시에스,길벗,"SQL은 대부분의 데이터베이스 시스템과 소통하는 데 사용되는 표준 언어다. 이 책에서는 대표적인 DBMS인 오라클, SQL Server, MySQL, PostgreSQL, 액세스에서 SQL을 사용하는 방법을 비교해 보여준다. 또한,"
29,그림으로 공부하는 오라클 구조,오다 케이지,제이펍,[그림으로 공부하는 오라클 구조]는 일본 최고의 데이터베이스 잡지인 《DB Magazine》의 인기 연재물 ‘그림으로 공부하는 오라클 입문’을 재구성한 책이다. 오라클 아키텍처의 세계를 그림으로 체험함으로써 그
30,"베이지안 데이터 분석 바이블 R, JAGS, Stan을 이용한  2판 ",존 크러슈케,제이펍,"데이터 분석을 위한 최고의 베이지안 이론서!

이 책은 잘 알려진 무료 소프트웨어인 R, JAGS, Stan을 이용해 베이지안 데이터 분석을 수행하는 방법을 단계별로 설명한다. 입문 수준의 독자도 쉽게 이해할 수"
31,구글 클라우드 플랫폼 뽀개기,박정운,비제이퍼블릭,"구글 클라우드는 구글의 대표적인 클라우드 서비스로, 누구나 유튜브, 지메일, 구글 지도와 같은 글로벌 규모의 구글 서비스와 동일한 인프라에서 안정적으로 작업을 할 수 있도록 해줍니다. 구글 클라우드를"
32,김인성의 완벽한 데이터 관리,김인성,홀로깨달음,"[김인성의 완벽한 데이터 관리]는 당신이 찍은 사진, 영상, 간단한 메모, 문서 파일, 프로그램 소스... 당시의 디지털 데이터를 안전하게 보관하고, 완벽하게 복구하며, 컴퓨터 성능을 최적화하고, 보안 대책을"
33,칼퇴족 김대리는 알고 나만 모르는 SQL: 기초편,김지훈,책밥,"[칼퇴족 김대리는 알고 나만 모르는 SQL: 기초편]은 SQL 입문자의 눈높이에 맞춰 실무에서 바로 쓸 수 있는 내용만 엄선하여 ‘가장 쉽게’, ‘최소한의 분량’으로 설명한 책이다. 그날 배울 내용을"
34,오라클 실전 튜닝. 3 Perfect ,권순용,엑시엄,"1권에서는 데이터베이스 아키텍쳐 및 SQL 튜닝 기초를 다루었고, 2권에서는 테이블들간의 조인을 통한 성능향상을 다뤘다. 이어서 3권에서는 실무에서 발생할 수 있는 SQL 사례들을 중심으로 구성하여 독자들에게"
