순위,제목,저자,출판사,요약
35,오라클 성능 고도화 원리와 해법. 1 양장본 HardCover ,조시형,디비안 주  DBian ,초 대용량 데이터베이스 환경의 여러 차세대 시스템 구축 프로젝트에서 얻은 소중한 경험과 기술 노하우를 널리 전파하려는 비투엔컨설팅의 첫 번째 역작이다. 데이터베이스 성능 최적화 전문가가 되기를 꿈꾸는
36,오라클 성능 고도화 원리와 해법. 2 양장본 HardCover ,조시형,디비안 주  DBian ,"""고성능 데이터베이스 애플리케이션 구축을 위해 필수적으로 이해하고 적용해야 할 원리와 해법""
데이터베이스 튜닝과 관련된 핵심 주제를 중심으로, 실전에서 자주 접하는 주요 성능 이슈에 대한 원리와 해법을"
37,프로젝트 성패를 결정짓는 데이터 모델링 이야기 Blog2Book 12 ,김상래,한빛미디어,『프로젝트 성패를 결정짓는 데이터 모델링 이야기』는  공학과 철학을 넘나들며 다른 책에서 충분히 다루지 않은 모델링의 본질적 이야기를 담았다. 저자가 친절히 그려준 책 구성 지도 책 8~9페이지 를 함께
38,MariaDB 성능 분석과 최적화 고성능 웹 애플리케이션 제작을 위한  acorn+PACKT 시리즈 ,피에르 마브로,에이콘출판,"[MariaDB 성능 분석과 최적화]는 MariaDB를 사용하기에 최적의 구성을 소개하고 성능 분석과 최적화에 관해 설명한다. 또한, 복제를 통해 실제상황에서 벌어질 수 있는 일에 잘 대처할 수 있게 한다. 마지막으로"
39,이것이 SQL Server다,우재남,한빛미디어,"[이것이 SQL Server다]는 SQL Server의 기본적이면서도 필수적인 내용만 알차게 담은 책이다. 책은 SQL Server/데이터베이스를 처음 시작하는 학습자를 대상으로 해 빠른 시간 안에 실습하고, 실무 환경에도"
40,데이터베이스 첫걸음,미크,한빛미디어,"데이터베이스 입문서『데이터베이스 첫걸음』. 이 책은 데이터베이스를 처음 배우는 초보자부터, 기본을 다시 배우고 싶은 관련 업계 종사자들을 위한 내용으로 구성돼 있다. 데이터베이스를 구성하는 다양한"
41,오라클 관리 실무 쉬운 설명과 실전 예제가 가득한 ,서진수,생능출판사,"쉬운 설명과 실전 예시가 가득한『오라클 관리 실무』. 이 책은 오라클을 기초부터 확실하게 배우기를 원하는 독자들을 위해 쓴 책으로, 오라클 구조 및 운영과 튜닝 관련 기본 지식과 원리들을 쉽게 풀어내고,"
42,오라클 SQL과 PL/SQL 다양한 예제로 쉽게 배우는  개정판 3판 ,서진수,생능출판사,SQL과 PL/SQL에 대한 내용은 방대하며 어려운 내용들이 많기 때문에 처음 공부하는 학습자는 스스로 공부하기가 쉽지 않다. 이 책은 방대한 SQL과 PL/SQL에 대한 모든 내용들을 전부 담는 것보다는 기초가 되는
43,HBase 인액션,닉 디미덕,비제이퍼블릭,"『HBase 인액션』은 HBase를 기반으로 애플리케이션을 구축하고 실제 경에 애플리케이션을 실행하는 데 충분한 지식을 제공하는 것을 목표로 한다. HBase를 사용하는 애플리케이션을 설계, 구축 및 실행하는"
44,글로벌 스탠더드 데이터 모델 양장본 HardCover ,이화식,엔코아컨설팅,필자가 지난 30여 년간 오직 데이터를 위해 인생을 바쳐오면서 항상 꿈꿔왔던 것이 하나 있다면 그것은 바로 데이터 모델을 수학이나 바둑처럼 정석화시키는 것이었다. 정석은 과거에 이루었던 기술의 결정체이자
45,개발자를 위한 인덱스 생성과 SQL 작성 노하우,이병국,글봄크리에이티브,▶ SQL에 관한 내용을 담은 전문서적입니다.
46,예측 분석이다 빅데이터의 다음 단계는 ,에릭 시겔,이지스퍼블리싱,"『예측 분석이다』는 논픽션 어워드 2014 금상 수상작이도 한 이 책은 예측 사회를 살아가는 리더들이 꼭 알아야 할 의사결정 나무, 휴리스틱, 네트워크 분석, 앙상블 기법, 텍스트 분석, 예측 최적화 등의"
47,오라클 SQL 취준생과 비전공자도 쉽게 배우는  3판 ,문성기,다올미디어,이 책은 SQL에 대한 너무 무겁고 방대한 메뉴얼이나 너무 빈약한 입문서들 그리고 관련 과목과 혼합되어 낮은 비중으로 다루어지는 서적들이 가장 기본적이고 중요한 SQL에 대한 이해도를 떨어뜨리는 중요한
48,데이터베이스 기초와 실습: 액세스 2013 IT CookBook 195 ,김지연,한빛아카데미,"『데이터베이스 기초와 실습: 액세스2013』은 액세스 2013을 통해 ‘데이터베이스 개념 이해 → 모델링 → 구축 과정’을 익힐 수 있도록 구성된 교재이다. 각 주제에 맞는 기능별 예제를 실습할 수 있으며, 전"
49,데이터베이스 for Beginner IT CookBook 248 ,우재남,한빛아카데미,"초보자를 위한 
실습 중심의 데이터베이스 입문서

데이터베이스를 처음 배우는 사람도 쉽게 이해할 수 있도록 실습 중심으로 구성한 입문서입니다. 작지만 모든 개념이 응축된 샘플 DB를 구축하여 활용해보고"
50,데이터 중심 애플리케이션 설계 데이터베이스 & 빅데이터 시리즈 19 ,마틴 클레프만,위키북스,"데이터는 오늘날 시스템을 설계할 때 마주치는 많은 도전 과제 중에서도 가장 중심에 있다. 확장성, 일관성, 신뢰성, 효율성, 유지보수성과 같은 해결하기 어려운 문제를 파악해야 할 뿐 아니라 관계형"
51,하둡과 스파크를 활용한 실용 데이터 과학,오퍼 멘델리비치,길벗,"이 책은 하둡과 스파크를 활용해 대규모 데이터 분석을 수행하고자 하는 데이터 과학자, 데이터 엔지니어, 비즈니스 이해 관계자를 대상으로 한다. 데이터 엔지니어링 전 과정을 파악하고, 핵심 개념을 개괄적으로"
52,파워 오브 데이터베이스,마이클 J. 헤르난데즈,비제이퍼블릭,마이클 J. 헤르난데즈의 베스트셀러인 《파워 오브 데이터베이스》는 관계형 데이터베이스 설계를 간단하고 명확하게 배우는 방법으로 전세계에서 주목을 받고 있다. 소프트웨어의 독립적인 사용 지침을 전보다 더
53,NoSQL 철저 입문,댄 설리번,길벗,"데이터베이스 개발자와 설계자들을 위한 [NoSQL 철저 입문]. 책은 왜 NoSQL이 탄생하게 되었는지, 어떤 점이 NoSQL의 강점인지 설명한다. 그리고 관계형 데이터베이스는 여전히 필요하지만, 엄청난 양의 데이터를"
