순위,제목,저자,출판사,요약
22,정책 기반 시스코 ACI 데이터센터,Lucien Avramov,성안당,"이 책에서, 시스코 데이터센터 전문가는 루시엔 아라모브와 마우리지오 포르톨라니가 시스코 애플리케이션 중심 인프라스트럭처 ACI 와 파이썬 python , REST Representational State Transfer ,"
23,하이브리드 발전시스템 제어와 마이크로그리드에의 적용,김호찬,제주대학교출판부,▶ 이 책은 하이브리드 발전시스템 제어와 마이크로그리드에의 적용에 대해 다룬 이론서입니다. 하이브리드 발전시스템 제어와 마이크로그리드에의 적용에 대한 내용을 학습할 수 있도록 구성했습니다.
24,아파치 Flume 따라잡기 acorn+PACKT 시리즈 ,스티브 호프만,에이콘출판,플룸 Flume 은 하둡 Hadoop  기반의 로그 데이터 수집을 위해 아파치 재단에서 개발한 오픈소스 소프트웨어 엔진이다. 특히 로그 성격의 다양한 데이터를 병렬적으로 분산처리하면서 수집할 수 있는 강력한 기능을
25,타입스크립트 디자인 패턴 acorn+PACKT 시리즈 ,빌릭 베인,에이콘출판,타입스크립트는 마이크로소프트에서 개발한 자바스크립트의 상위집합 superset 으로 자바스크립트와 완벽한 호환을 보장하며 대규모 애플리케이션 개발에도 적합하다. 따라서 체계적이고 효율적인 개발은
26,NCS ATmega128을 이용한 펌웨어 개발 실무,양정모,광문각,▶ 이 책은 ATmega128을 이용한 펌웨어 개발 실무를 다룬 이론서입니다. ATmega128을 이용한 펌웨어 개발 실무의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
27,애자일 회고 애자일 시리즈 5 ,에스더 더비,인사이트,None
28,인프라 디자인 패턴,스기하라 타케오,비제이퍼블릭,"패턴을 조합하여 요구사항에 맞는 적절한 시스템 구축『인프라 디자인 패턴』. 인프라 개발에서의 장애 발생을 줄이고 생산성 향상, 인재 육성 등을 목적으로 인프라 기술자들이 일궈낸 설계 방식을 개념화,"
29,시스템 성능 분석과 최적화 위키북스 시스템 & 네트워크 시리즈 2 ,브렌든 그레그,위키북스,"『시스템 성능 분석과 최적화』는 엔터프라이즈나 클라우드 환경을 운용하는 사람, 즉 시스템, 네트워크, 데이터베이스나 웹 관리자, 개발자 및 기타 기술자들에 필요한 책이다. 저자는 베어메탈 시스템부터"
30,실무로 배우는 시스템 성능 최적화 위키북스 시스템 & 네트워크 시리즈 3 ,권문수,위키북스,"『실무로 배우는 시스템 성능 최적화』는 시스템 최적화 전문가가 15년간의 실무 경험을 바탕으로 4년간의 노력 끝에 완성한, 시스템 운영자와 애플리케이션 개발자를 대상으로 한 성능 개선에 대한 종합적이고"
31,네티 인 액션 위키북스 시스템 & 네트워크 시리즈 4 ,노먼 마우러,위키북스,"네티는 복잡한 네트워킹, 멀티스레드, 동시성을 관리하는 자바 기반 네트워킹 프레임워크로서, 반복적인 저수준 코드를 내부로 감춤으로써 비즈니스 논리를 분리하고 쉽게 재사용할 수 있게 해준다. 네티를"
32,디자인 스프린트,리처드 밴필드,비즈앤비즈,"하루에 출시되는 신규 앱만 500여 개! 성공적인 디지털 상품을 제작하려면 무엇이 필요할까? 디자인 스프린트를 활용해 1주일 안에 아이디어를 프로토타입으로 만들어 테스트해볼 수 있고, 실패의 위험을 현저히"
33,데브옵스 2.0 툴킷 acorn+PACKT 시리즈 ,빅토르 파르시트,에이콘출판,형상 관리 도구로 자동 프로비저닝된 서버에 지속적으로 테스트 및 배포되는 불변적인 컨테이너로 패키징된 마이크로서비스를 사용해 좀 더 효율적으로 설계하는 데 도움이 되는 여러 기술을 다룬다. 최신의
34,GROWTH DEVELOPER 그로스 디벨로퍼 : 주니어 개발자를 위한 성장 지침서 Hexagon Blue Tech 1 ,서일환,헥사곤,헥사곤이 새로운 HEXAGON BLUE TECH 시리즈를 선보입니다. 헥사곤 블루 테크는 소프트웨어 엔지니어링 관련 지식을 소개하는 기술 실용서 시리즈입니다. 독자와 함께 블루오션을 개척해 나가기 위해 파랗고 산뜻한
35,클라우드 네이티브 인프라스트럭처,저스틴 개리슨,책만,"사람이 직접 일일이 설정하지 않고도 애플리케이션으로 인프라스트럭처를 자동화해 관리하는 'IT 인프라 기술 혁명'의 미래는 이미 다가와 있다. 고 가용성과 확장성, 신뢰성을 보장하는 클라우드"
