순위,제목,저자,출판사,요약
21,토비의 스프링 3.1 세트 에이콘 오픈소스 프로그래밍 시리즈  전2권 ,이일민,에이콘출판,『토비의 스프링 3.1 세트』는 스프링을 처음 접하거나 스프링을 경험했지만 스프링이 어렵게 느껴지는 개발자부터 스프링을 활용한 아키텍처를 설계하고 프레임워크를 개발하려고 하는 아키텍트에 이르기까지
22,생활코딩! PHP+MySQL 위키북스 러닝스쿨 시리즈 4 ,이고잉,위키북스,"실제 서비스에서 사용되는 웹 애플리케이션 제작 방법을 배울 수 있습니다!

HTML/CSS/자바스크립트는 배웠지만 실제 서비스에서 사용되는 웹 애플리케이션을 제작하려면 동적 웹 애플리케이션을 만드는 기술을"
23,Node.js 디자인 패턴,Mario Casciaro,영진닷컴,"한 차원 높은 웹 설계를 위한 Node.js 디자인 패턴 가이드
Node.js는 JavaScript를 사용하여 쉽게 확장 가능한 서버 측 어플리케이션을 만들 수 있는 매우 유용한 소프트웨어 플랫폼으로, 효율적인 코드 작성을"
24,자바스크립트 완벽 가이드 Programming Insight ,데이비드 플래너건,인사이트,"『자바스크립트 완벽 가이드』는 HTML5로 촉발된 자바스크립트 관련 표준안들과 관련 API들을 대거 포함한 자바스크립트 가이드북이다. 책의 1부는 자바스크립트 언어 자체를 다루고, 2부는 자바스크립트를"
25,Head First Design Patterns,에릭 프리먼 외,한빛미디어,"참신한 유머와 퍼즐, 비주얼한 그림 그리고 친숙한 대화 스타일 등 색다른 시도로 주목받는 Head First 시리즈의 DESIGN PATTERNS 편. 디자인 패턴을 사용하면 다른 사람들의 노력과 경험을 바로 활용해서 시간과"
26,스프링 부트를 활용한 마이크로 서비스 개발 오픈소스 & 웹 시리즈 93 ,모이세스 메이세로,위키북스,"작은 일체형부터 여러 서비스를 결합한 이벤트 중심 아키텍처까지 스프링 부트 애플리케이션을 조금씩 발전시켜 나가면서 마이크로서비스 아키텍처를 구축합니다. 이를 통해 마이크로서비스 아키텍처, 테스트 주도"
27,그누위즈의 PHP & MySQL 웹 프로그래밍 입문 + 활용,윤성훈,앤써북,"<<그누위즈의 PHP & MySQL 웹 프로그래밍 입문+활용>> 책은 기초부터 실전 제작 실습까지 초보자의 눈높이에 맞춘 입문 활용서이다.

- PHP와 MySQL을 한 번에 마스터할 수 있다.    
- PHP 7.X 버전 기반으로"
28,Do it! HTML5+CSS3 웹 표준의 정석 2017  전면개정판 ,고경희,이지스퍼블리싱,"마이크로소프트 공인 최고 기술 전문가
국내에 인터넷이 보급되기 시작하던 1990년 초반부터 초보자와 중급자를 위한 베스트셀러 컴퓨터 서적을 집필해 온 IT 전문 필자이다. 
현재 Developer Technologies 분야"
29,jQuery+jQueryUI+jQuery Mobile 레퍼런스 북,후루하타 카즈히로,교학사,"『jQuery+jQueryUI+jQuery Mobile 레퍼런스북』에서는 jQuery와 jQuery UI, jQuery Mobile의 3가지에 대해 자주 사용되는 항목을 정리했으며 호환성 라이브러리인 Zepto.js에서의 작동 여부와 사용시 주의 사항을"
30,함수형 자바스크립트 프로그래밍,유인동,인사이트,"『함수형 자바스크립트 프로그래밍』은 자바스크립트에서 함수형 패러다임을 통해 보다 효율적인 코드를 만들고자 하는 개발자를 위한 실무 밀착형 가이드다. 
익숙한 개발 방식에서 벗어나 기존 코드를 어떻게"
31,빠른 모바일 앱 개발을 위한 React Native 2/E 2판  Programming Insight ,바니 아이젠먼,인사이트,"자바스크립트와 리액트로 만드는 네이티브 모바일 앱 개발 프레임워크
리액트 네이티브와 함께라면 자바스크립트로 잘 짜인 진짜 네이티브 앱을 만들 수 있다. 이 책은 iOS와 안드로이드에서 동작하는 모바일"
32,스프링 부트 시작하기,김인우,인사이트,"무엇이든 처음 공부를 시작할 때는 자기가 무엇을 모르는지, 그래서 무엇을 공부해야 하는지 알기가 어렵다. 이 책에서는 초보자의 입장에서 새로운 지식을 공부할 때의 '과정'에 초점을 맞췄다. 간단한"
33,HTML5 + CSS3 + Javascript 웹 프로그래밍 명품 ,황기태,생능출판사,"웹 페이지 제작은 HTML 태그를 이용하여 페이지를 만들고, CSS3로 모양을 꾸미고, 자바스크립트로 사용자 인터페이스나 응용프로그램을 작성하는 과정으로 이루어진다. 이 세 가지 지식이 모두 필요하므로 웹"
34,실전! 스프링 5를 활용한 리액티브 프로그래밍 위키북스 오픈소스 & 웹 시리즈 97 ,올레 도쿠카,위키북스,오늘날 기업은 어떤 상황에도 높은 응답성을 유지할 수 있는 새로운 유형의 시스템이 필요합니다. 리액티브 프로그래밍을 이용하면 이를 달성할 수 있습니다. 이러한 시스템 개발은 복잡하며 도메인에 대한 깊은
35,자바스크립트 패턴과 테스트,래리 스펜서,길벗,"『자바스크립트 패턴과 테스트』는 자바스크립트만의 독특한 문법 구조를 이해하고 견고한 프로그램을 개발하는 데 필요한 기술과 원리를 설명한다. 콜백 패턴, 프라미스 패턴, 싱글톤 패턴, 장식자 패턴 같은"
36,전문가를 위한 스프링 5 개정판 5판 ,율리아나 코스미나,길벗,1판이 출간된 이후 5판까지 꾸준히 개정되며 스프링 중급서의 위치를 지켜왔다. 스프링 입문자가 아니라 실제로 현업에서 스프링을 개발하면서 알아야 하는 깊이 있는 정보를 체계적으로 정리하고 전달해왔다.
37,코틀린 마이크로서비스 개발,후안 안토니오 메디나 이글레시아스,에이콘출판,"어느새 자바 생태계의 주류 언어로 자리매김한 코틀린 언어를 바탕으로 마이크로서비스와 리액티브에 대해 알아본다. 기본 개념, 작동 원리와 장점을 살펴보는 것을 시작으로 스프링 부트 기반으로"
38,리액트 & 리액트 네이티브 통합 교과서 프로그래밍 언어 ,아담 보두치,에이콘출판,"리액트는 페이스북이 개발한 웹 개발 라이브러리로, 현재 페이스북이 자사 서비스에 적극적으로 활용할 뿐만 아니라 수많은 개발자들이 웹 및 앱 개발에 사용하고 있는 기술이다.
이 책은 리액트에 대한 전반적인"
39,처음 배우는 스프링 부트. 2,김영재,한빛미디어,이 책은 스프링 부트 입문자의 눈높이에 맞춰 스프링 부트 환경 설정부터 커뮤니티 게시판 구현까지를 다룹니다. 스프링 부트의 기본 개념과 다양한 스프링 부트 스타터를 이용해 커뮤니티 게시판 구축 프로젝트를
40,Do it! 웹 프로그래밍을 위한 자바스크립트 기본 편,고경희,이지스퍼블리싱,무엇이든 처음 공부할 때는 기본기부터 빠르게 정복해야 한다. 그래야 그 분야에 재미를 느끼며 빠르게 적응할 수 있다. 《Do it! 웹 프로그래밍을 위한 자바스크립트 기본 편》은 자바스크립트를 통해 웹
41,JSPStudy의 JSP & Servlet 웹 프로그래밍 입문 활용 2판 ,정동진,앤써북,"JSP & Servlet의 동작원리를 도식화로 알기 쉽게 설명하였고, 기초 문법부터 웹사이트 실전 제작 실습까지 구체적인 구현 방법을 처음 시작하는 초보자의 눈높이에 맞춘 입문 활용서이다.

책의 핵심 구성은"
42,에센셜 스크럼 성공적인 애자일 도입을 위한 ,케네서 S. 루빈,제이펍,"팀원, 관리자, 임원 등 모두를 위한 포괄적인 안내를 담은 한 권의 책 『에센셜 스크럼』. 고객을 기쁘게 하는 혁신적인 제품과 서비스를 개발하기 위해 스크럼을 사용하고 싶다면, 이 책은 당신이 찾는 완전한"
43,플라스크 웹 개발,미구엘 그린버그,비제이퍼블릭,플라스크는 프로그래머가 개발하는 애플리케이션의 모든 창의적인 컨트롤이 가능하다는 이유로 다른 프로임워크 보다 더 우위에 있다고 알려져 있다. 이 책 [플라스크 웹 개발]은 창의적인 애플리케이션 개발을
44,Go 언어 웹 프로그래밍 철저 입문,장재휴,길벗,『Go 언어 웹 프로그래밍 철저 입문』은 Go 언어 웹 프로그래밍 입문서다. 각 상황에 맞게 Go 기본 라이브러리와 다양한 외부 패키지를 조합하여 마이크로 서비스 형태로 자신만의 프레임워크 제작 방법을 배운다.
45,고양이도 할 수 있는 Vue.js,mio,제이펍,"의욕은 넘치는데, 막상 어디서부터 시작해야 좋을지 모르겠다거나 향상된 프런트엔드 웹 개발 수준에 당황하여 ‘내가 잘 몰라서 이해를 못하는 걸지도...’라며 잘못된 수준과 학습 방법을 선택하는 경우가"
46,실전 리액트 프로그래밍,이재승,인사이트,이 책은 핵심 원리를 통해 리액트의 사용법을 알려준다. 단순히 기술을 소개하는 데 그치지 않고 그 기술을 사용하는 이유를 함께 다룬다. 따라서 리액트뿐 아니라 앞으로 만나게 될 어떤 기술도 빠르게 배울 수
47,HTML CSS 디자인 레시피,스케하루 카노우,교학사,이 책은 15장으로 구성되어 있습니다. 1장에서는 HTML과 CSS의 기본적 사양에 대해서 소개하였습니다. 실제 웹 사이트 제작에 밑거름 HTML과 CSS를 제대로 이해하기 위해서 중요한 지식만을 골라 한눈에 알아볼 수
48,초보자를 위한 PHP 200제,김태영,정보문화사,"하이퍼텍스트 생성 언어에 포함되는 스크립팅 언어인 PHP를 설치부터 활용까지 예제별로 친절하게 안내하는 책이다. 본서는 총 5개의 파트 입문, 초급, 중급, 활용, 실무 로 구성되어있으며 200개의 예제를"
49,자바스크립트 JSON 쿡북 acorn+PACKT 시리즈 ,레이 리쉬패터,에이콘출판,JSON JavaScript Object Notation 은 인터넷을 통해 전송하는 데이터 객체를 생성하는 텍스트 기반의 가벼운 데이터 교환 포맷이다. 현재 JSON은 모바일 애플리케이션뿐만 아니라 일반적인 웹 애플리케이션에서도
50,JUNIT IN ACTION: 단위 테스트의 모든 것,피터 타치브,인사이트,"『JUNIT IN ACTION: 단위 테스트의 모든 것』은 JUnit을 중심으로, 단위 테스트의 효과와 중요성, 성격이 다른 소프트웨어 각 영역별 지원 툴, 이들을 개발 프로세스에 녹이고 자동화시키는 방법까지 자세하게"
51,JavaScript + jQuery 입문 모던 웹을 위한  3판 ,윤인성,한빛미디어,"『모던 웹을 위한 JavaScript + jQuery 입문』은 클라이언트 자바스크립트와 관련된 거의 모든 내용을 다루며, 표준 자바스크립트 프레임워크로 채택된 jQuery도 함께 다룬다. 거기서 한걸음 더 나아가 현대적 웹"
52,스프링5 프로그래밍 입문 초보 웹 개발자를 위한 ,최범균,가메,"필자의 한마디 : 처음 스프링을 배우고자 하는 독자들이 입문할 때 필요한 것은 스프링의 방대한 내용이 아닌 기초와 전반적인 흐름을 잡아주는 것으로 생각한다.

● 스프링 DI 기초와 의존 자동 주입
●"
53,AWS 시스템 설계와 마이그레이션 위키북스 클라우드 컴퓨팅 시리즈 3 ,사사키 타쿠로,위키북스, 
54,리액트 교과서,아자트 마르단,길벗,"이 책은 React.js를 사용해 웹/모바일을 개발하고자 하는 웹/모바일 개발자, 소프트웨어 엔지니어를 대상으로 한다. 1부는 JSX, 상태 객체, 라이프사이클 이벤트, DOM 이벤트, jQuery UI 이벤트, 폼, 리액트"
55,모두의 알고리즘 with 자바스크립트,스즈키 코이치,길벗, 
56,"Node.js, MongoDB와 Angular를 이용한 웹 개발 2판 ",브래드 데일리,에이콘출판,"MEAN 스택을 통해 실제로 사용할 수 있는 역동적인 웹사이트와 웹 애플리케이션을 구축할 수 있다. 웹 페이지 로직에서 앵귤러 기술을 사용해 Node.js 서버와 통신할 수 있고, 몽고DB 데이터베이스로부터 필요한"
57,스프링5 레시피 4판 ,마틴 데니엄,한빛미디어,"이 책은 스프링 5에 새로 탑재된 기능 및 다양한 구성 옵션 등 업데이트된 프레임워크 전반을 실무에 유용한 해법을 제시하는 형식으로 다룹니다. IoC 컨테이너 같은 스프링 기초부터 스프링 AOP/AspectJ, 자바 EE"
